Bluewing Raspberry, 10.10.20.14
Bluewing Potato, 10.10.20.22
Tamarack, 10.10.20.18
SBC Spare D, 10.10.20.26
SBC Spare E, 10.10.20.30

Parkside HOA, 10.10.21.38

Cafeteria, 10.10.21.50

Bybee Well Field, 10.10.22.10
Owsley Lift, 10.10.22.46
Jackett Lift, 10.10.22.18
Lat 4.0 HG, 10.10.22.14
Jkt 5 Mon, 10.10.22.22
Lat 1.1 Mon, 10.10.22.26
Sparks Lift, 10.10.22.30
Lat 2.1 HG (Doc Warner), 10.10.22.34
Lat 9.0 HG, 10.10.22.38
Lat 6.0 HG, 10.10.22.74
Lat 2.4 (End), 10.10.22.50
Holley WF 1-6, 10.10.22.54
Lat 4.2 (Adamson), 10.10.22.58
North Lake Weir, 10.10.22.62
Lat 2.0 HG, 10.10.22.66
Holley Lift ,10.10.22.70
Holley WF 8-9, 10.10.22.78
Chastain, 10.10.22.42
Holley 8 Mon, 10.10.22.82
Jackett 2.1 HG, 10.10.22.86
Holley 1 Mon, 10.10.22.90
Buck Springs, 10.10.22.94
Lat 6.1, 10.10.22.98
Marty Well Field, 10.10.22.102
Kutchner Bridge, 10.10.22.106
OM3, 10.10.22.110
Holley 6 Mon, 10.10.22.114
Holley WF 7, 10.10.22.118
Holley 2 Mon, 10.10.22.122
MLWU Spare, 10.10.22.126
North Lake WF 11, 10.10.22.130
Lat 1.0 HG, 10.10.22.134
MLWU Spare 138, 10.10.22.138
MLWU Spare 142, 10.10.22.142
MLWU Spare 146, 10.10.22.146
MLWU Spare 150, 10.10.22.150

Main Lift 10.10.23.10
Weir 10.10.23.14
Wells 6N-6S-14, 10.10.23.18
Jefferson Irr Spare, 10.10.23.22
Jefferson Irr Spare, 10.10.23.26

Elida Tank, 10.10.21.90
Elida Well, 10.10.21.94
Elida Spare, 10.10.21.98
